country,location_name,latitude,longitude,air_quality
Austria,Vienna,48.2,16.37,17.1
Azerbaijan,Baku,40.4,49.88,3
Bahamas,Nassau,25.08,-77.35,4.6
Bahrain,Manama,26.24,50.58,80.6
Bangladesh,Dhaka,23.72,90.41,13
Barbados,Bridgetown,13.1,-59.62,2.6
Belarus,Minsk,53.9,27.57,8.2
Belgium,Brussels,50.83,4.33,7.7
Belize,Belmopan,17.25,-88.77,3.5
Benin,Porto-Novo,6.48,2.62,6.3
Bhutan,Thimphu,27.48,89.6,2
Bolivia,Sucre,-19.04,-65.26,3.7
Bosnia and Herzegovina,Sarajevo,43.85,18.38,14.3
Botswana,Gaborone,-24.65,25.91,5.2
Brazil,Bras,-2.08,-58.17,16.6
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,0.9
Bulgaria,Sofia,42.68,23.32,16.3
Burkina Faso,Ouagadougou,12.37,-1.52,21.1
Burundi,Bujumbura,-3.38,29.36,38
Madagascar,Ivory,-24.37,46.45,1.7
Cape Verde,Praia,14.93,-23.51,6.6
Cambodia,Phnom Penh,11.55,104.92,8.5
Cameroon,Bafoussam,5.47,10.42,4.7
Canada,Ottawa,45.42,-75.7,1.7
Central African Republic,Bangui,4.37,18.58,0.5
Chad,N'djamena,12.11,15.05,18.8
Chile,Santiago,-33.45,-70.67,103.7
China,Beijing,39.93,116.39,63.4
Bulgaria,Bogot,43.32,24.7,6.4
Comoros,Moroni,-11.7,43.24,1.6
Congo,Brazzaville,-4.26,15.28,3.1
Costa Rica,San Juan,9.97,-84.08,10.4
Croatia,Zagreb,45.8,16,30.5
Cuba,Havana,23.13,-82.36,2.6
Cyprus,Nicosia,35.17,33.37,10.2
Czech Republic,Prague,50.08,14.47,31.7
Democratic Republic of Congo,Kinshasa,-4.3,15.3,5.4
Denmark,Copenhagen,55.67,12.58,33.7
Djibouti,Djibouti,11.6,43.15,19.4
Dominica,Roseau,15.3,-61.4,3
Dominican Republic,Santo Domingo,18.47,-69.9,4.4
Ecuador,Quito,-0.22,-78.5,12.2
Egypt,Cairo,30.05,31.25,82.3
El Salvador,San Salvador,13.71,-89.2,8.9
Equatorial Guinea,Malabo,3.75,8.78,3.1
Eritrea,Asmara,15.33,38.93,18.1
Estonia,Tallinn,59.43,24.73,29.7
Swaziland,Mbabane,-26.32,31.13,2.1
Ethiopia,Addis Ababa,9.03,38.7,121.8
Fiji Islands,Suva,-18.13,178.42,5.3
Finland,Helsinki,60.18,24.93,29.9
France,Paris,48.87,2.33,26
Gabon,Libreville,0.38,9.45,5
Gambia,Banjul,13.45,-16.58,4.2
Georgia,Tbilisi,41.73,44.79,4.7
Germany,Berlin,52.52,13.4,46.8
Ghana,Accra,5.55,-0.22,8.1
Greece,Athens,37.98,23.72,2.9
Grenada,Saint George's,12.05,-61.75,2
Guatemala,Guatemala City,14.62,-90.53,4.5
Guinea,Conakry,9.51,-13.71,0.6
Guinea-Bissau,Bissau,11.85,-15.58,2
Guyana,Georgetown,6.8,-58.17,5.8
Haiti,Port-Au-Prince,18.54,-72.34,18.2
Vatican City,Vatican City,41.9,12.45,36.4
Honduras,Tegucigalpa,14.1,-87.22,0.7
Hungary,Budapest,47.5,19.08,23.8
Iceland,Hella,63.83,-20.4,0.5
India,New Delhi,28.6,77.2,77.8
Indonesia,Jakarta,-6.21,106.85,450.8
Iran,Tehran,35.73,51.33,27.9
Iraq,Baghdad,33.34,44.39,12.8
Ireland,Dublin,53.33,-6.25,2.4
Israel,Jerusalem,31.78,35.23,11.2
Italy,Rome,41.9,12.48,36.4
Jamaica,Norman Gardens,17.97,-76.75,12.1
Japan,Tokyo,35.69,139.69,22.2
Jordan,Amman,31.95,35.93,12.9
Kazakhstan,Astana,51.18,71.43,1.1
Kenya,Nairobi,-1.28,36.82,10.6
Kiribati,Tarawa,-0.88,169.53,0.5
Kuwait,Kuwait City,29.37,47.96,17.1
Kyrghyzstan,Bishkek,42.87,74.6,1.5
Indonesia,Laos,-8.18,114.32,8.4
Latvia,Riga,56.95,24.1,15
Lebanon,Beirut,33.87,35.51,10.6
Lesotho,Maseru,-29.32,27.48,0.9
Liberia,Monrovia,6.31,-10.8,3.7
Thailand,Nan,18.78,100.78,3.5
Liechtenstein,Vaduz,47.13,9.52,18.5
Lithuania,Vilnius,54.68,25.32,7.9
Luxembourg,Luxembourg,49.61,6.13,18
Madagascar,Antananarivo,-18.92,47.52,6
Malawi,Lilongwe,-13.98,33.78,5.1
Malaysia,Kuala Lumpur,3.17,101.7,73.3
Maldives,Farukolhufunadhoo,6.15,73.27,0.7
Mali,Bamako,12.65,-8,2.4
Malta,Valletta,35.9,14.51,12.3
Marshall Islands,Majuro,7.1,171.38,1
Mauritania,Nouakchott,18.09,-15.98,12.8
Mauritius,Port Louis,-20.16,57.5,2.3
Mexico,Mexico City,19.43,-99.13,12.3
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,1
Monaco,Monaco,43.73,7.42,17.9
Mongolia,Ulaanbaatar,47.92,106.92,3.5
Montenegro,Podgorica,42.44,19.26,8.6
Morocco,Rabat,34.03,-6.84,2.7
Mozambique,Maputo,-25.97,32.59,3.9
Myanmar,Pathein,16.78,94.73,1.6
Namibia,Windhoek,-22.57,17.08,4.6
Turkey,Yaren,39.55,27.62,4.3
Nepal,Kathmandu,27.72,85.32,88.1
Netherlands,Amsterdam,52.37,4.89,19
New Zealand,Wellington,-41.3,174.78,0.5
Nicaragua,Managua,12.15,-86.27,1.8
Niger,Niamey,13.52,2.12,11.2
Nigeria,Abuja,9.18,7.18,13.4
North Korea,Pyongyang,39.02,125.75,42.1
Macedonia,Skopje,42,21.43,17.2
Norway,Oslo,59.92,10.75,27.5
Oman,Muscat,23.61,58.59,29.3
Pakistan,Islamabad,33.7,73.17,126
Palau,Adkip,7.36,134.51,1.1
Bolivia,National,-11.18,-67.08,13.9
Panama,Panama City,8.97,-79.53,2.1
Papua New Guinea,Port Moresby,-9.46,147.19,5.1
Paraguay,Carreria,-21.55,-58.12,10.1
Peru,Lima,-12.05,-77.05,8.3
Philippines,Manila,14.6,120.98,15.7
Poland,Warsaw,52.25,21,94.7
Portugal,Lisbon,38.72,-9.13,6.1
Qatar,Doha,25.29,51.53,49.1
Romania,Bucharest,44.43,26.1,21.4
Russia,Moscow,55.75,37.62,9.5
Rwanda,Kigali,-1.95,30.06,21.6
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2.4
Saint Lucia,Castries,14,-61,2.1
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2
Samoa,Apia,-13.83,-171.73,1.9
San Marino,San Marino,43.93,12.45,20.2
Belgium,'S-Gravenwezel,51.27,4.55,6.4
Saudi Arabia,Riyadh,24.64,46.77,48.1
Senegal,Dakar,14.67,-17.44,34.2
Serbia,Belgrade,44.8,20.47,13.1
Seychelles Islands,Victoria,-4.62,55.45,5
Sierra Leone,Freetown,8.49,-13.23,1.2
Singapore,Singapore,1.29,103.86,24.2
Slovakia,Bratislava,48.15,17.12,10
Slovenia,Ljubljana,46.06,14.51,29.4
Solomon Islands,Honiara,-9.43,159.95,3.9
Somalia,Mogadishu,2.07,45.37,5.9
South Africa,Pretoria,-25.75,28.19,4.5
South Korea,Seoul,37.57,127,55.4
Sudan,Juba,12.15,24.45,2.3
Spain,Madrid,40.4,-3.68,2.9
Sri Lanka,Colombo,6.93,79.85,1.8
Sudan,Khartoum,15.59,32.53,8.9
Suriname,Paramaribo,5.83,-55.17,7.1
Sweden,Stockholm,59.33,18.05,14
Switzerland,Bern,46.92,7.47,25.8
Syria,Damascus,33.5,36.3,8.6
Tajikistan,Dushanbe,38.56,68.77,14.1
Tanzania,Dodoma,-6.18,35.75,3.9
Thailand,Bangkok,13.75,100.52,15.6
Timor-Leste,Dili,-8.56,125.57,3.9
Bulgaria,Lom,43.81,23.24,7.5
Tonga,Nuku`Aloia,-21.13,-175.2,5.7
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2.3
Tunisia,Tunis,36.8,10.18,16.3
Turkey,Ankara,39.93,32.86,5.2
Turkmenistan,Ashgabat,37.95,58.38,13.3
Tuvalu,Funafuti,-8.52,179.22,0.7
Uganda,Kampala,0.32,32.57,113.6
Ukraine,Kyiv,50.43,30.52,9.2
United Arab Emirates,Abu Dhabi,24.47,54.37,53.6
United Kingdom,London,51.52,-0.11,6.9
United States of America,Washington Park,46.6,-120.49,5.7
Uruguay,Montevideo,-34.86,-56.17,5.5
Uzbekistan,Tashkent,41.32,69.25,21.2
Vanuatu,Port Vila,-17.73,168.32,2.9
Venezuela,Caracas,10.5,-66.92,58.5
Vietnam,Hanoi,21.03,105.85,73.9
Yemen,Sanaa,15.35,44.21,19.4
Zambia,Lusaka,-15.42,28.28,32.9
Zimbabwe,Harare,-17.82,31.04,106.9
Afghanistan,Kabul,34.52,69.18,13.5
Albania,Tirana,41.33,19.82,21.4
Algeria,Algiers,36.76,3.05,9.5
Andorra,Andorra La Vella,42.5,1.52,1.7
Angola,Luanda,-8.84,13.23,7
Antigua and Barbuda,Saint John's,17.12,-61.85,2.1
Argentina,Buenos Aires,-34.59,-58.67,5.6
Armenia,Yerevan,40.18,44.51,4.6
Australia,Canberra,-35.28,149.22,5
Austria,Vienna,48.2,16.37,28.1
Azerbaijan,Baku,40.4,49.88,1
Bahamas,Nassau,25.08,-77.35,4.3
Bahrain,Manama,26.24,50.58,86.9
Bangladesh,Dhaka,23.72,90.41,17.9
Barbados,Bridgetown,13.1,-59.62,1.4
Belarus,Minsk,53.9,27.57,10.3
Belgium,Brussels,50.83,4.33,34.8
Belize,Belmopan,17.25,-88.77,3.3
Benin,Porto-Novo,6.48,2.62,8.5
Bhutan,Thimphu,27.48,89.6,2.8
Bolivia,Sucre,-19.04,-65.26,8.9
Bosnia and Herzegovina,Sarajevo,43.85,18.38,16.3
Botswana,Gaborone,-24.65,25.91,4.4
Brazil,Bras,-2.08,-58.17,11.3
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2.4
Bulgaria,Sofia,42.68,23.32,10.8
Burkina Faso,Ouagadougou,12.37,-1.52,47.5
Burundi,Bujumbura,-3.38,29.36,52.7
Madagascar,Ivory,-24.37,46.45,4.7
Cape Verde,Praia,14.93,-23.51,4.5
Cambodia,Phnom Penh,11.55,104.92,10.2
Cameroon,Bafoussam,5.47,10.42,14.6
Canada,Ottawa,45.42,-75.7,4.1
Central African Republic,Bangui,4.37,18.58,0.5
Chad,N'djamena,12.11,15.05,30.6
Chile,Santiago,-33.45,-70.67,173.6
China,Beijing,39.93,116.39,125.5
Bulgaria,Bogot,43.32,24.7,9.9
Comoros,Moroni,-11.7,43.24,4.4
Congo,Brazzaville,-4.26,15.28,4.9
Costa Rica,San Juan,9.97,-84.08,11.1
Croatia,Zagreb,45.8,16,16.9
Cuba,Havana,23.13,-82.36,3.2
Cyprus,Nicosia,35.17,33.37,10.1
Czech Republic,Prague,50.08,14.47,20.6
Democratic Republic of Congo,Kinshasa,-4.3,15.3,4.9
Denmark,Copenhagen,55.67,12.58,4.8
Djibouti,Djibouti,11.6,43.15,26.2
Dominica,Roseau,15.3,-61.4,1.4
Dominican Republic,Santo Domingo,18.47,-69.9,26.2
Ecuador,Quito,-0.22,-78.5,20.9
Egypt,Cairo,30.05,31.25,14.7
El Salvador,San Salvador,13.71,-89.2,16
Equatorial Guinea,Malabo,3.75,8.78,3.9
Eritrea,Asmara,15.33,38.93,10.2
Estonia,Tallinn,59.43,24.73,33.6
Swaziland,Mbabane,-26.32,31.13,1.6
Ethiopia,Addis Ababa,9.03,38.7,32
Fiji Islands,Suva,-18.13,178.42,7.1
Finland,Helsinki,60.18,24.93,27.8
France,Paris,48.87,2.33,7.5
Gabon,Libreville,0.38,9.45,4.2
Gambia,Banjul,13.45,-16.58,0.7
Georgia,Tbilisi,41.73,44.79,2.1
Germany,Berlin,52.52,13.4,50.1
Ghana,Accra,5.55,-0.22,15
Greece,Athens,37.98,23.72,4.9
Grenada,Saint George's,12.05,-61.75,2.3
Guatemala,Guatemala City,14.62,-90.53,79.8
Guinea,Conakry,9.51,-13.71,1.3
Guinea-Bissau,Bissau,11.85,-15.58,1.3
Guyana,Georgetown,6.8,-58.17,3.5
Haiti,Port-Au-Prince,18.54,-72.34,5.2
Vatican City,Vatican City,41.9,12.45,36.7
Honduras,Tegucigalpa,14.1,-87.22,0.8
Hungary,Budapest,47.5,19.08,55.8
Iceland,Hella,63.83,-20.4,0.5
India,New Delhi,28.6,77.2,49.6
Indonesia,Jakarta,-6.21,106.85,690.1
Iran,Tehran,35.73,51.33,21.7
Iraq,Baghdad,33.34,44.39,16.2
Ireland,Dublin,53.33,-6.25,1.4
Israel,Jerusalem,31.78,35.23,31.3
Italy,Rome,41.9,12.48,36.7
Jamaica,Norman Gardens,17.97,-76.75,23.3
Japan,Tokyo,35.69,139.69,26.7
Jordan,Amman,31.95,35.93,49
Kazakhstan,Astana,51.18,71.43,3.5
Kenya,Nairobi,-1.28,36.82,22
Kiribati,Tarawa,-0.88,169.53,0.5
Kuwait,Kuwait City,29.37,47.96,27.8
Kyrghyzstan,Bishkek,42.87,74.6,21.2
Indonesia,Laos,-8.18,114.32,20.2
Latvia,Riga,56.95,24.1,11.5
Lebanon,Beirut,33.87,35.51,10
Lesotho,Maseru,-29.32,27.48,24.3
Liberia,Monrovia,6.31,-10.8,2.3
Thailand,Nan,18.78,100.78,2.4
Liechtenstein,Vaduz,47.13,9.52,6.4
Lithuania,Vilnius,54.68,25.32,16
Luxembourg,Luxembourg,49.61,6.13,4.6
Madagascar,Antananarivo,-18.92,47.52,27.5
Malawi,Lilongwe,-13.98,33.78,6.8
Malaysia,Kuala Lumpur,3.17,101.7,59.2
Maldives,Farukolhufunadhoo,6.15,73.27,0.6
Mali,Bamako,12.65,-8,2.9
Malta,Valletta,35.9,14.51,14
Marshall Islands,Majuro,7.1,171.38,5.2
Mauritania,Nouakchott,18.09,-15.98,11.7
Mauritius,Port Louis,-20.16,57.5,7.2
Mexico,Mexico City,19.43,-99.13,19.9
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,0.8
Monaco,Monaco,43.73,7.42,18.9
Mongolia,Ulaanbaatar,47.92,106.92,4.7
Montenegro,Podgorica,42.44,19.26,16.9
Morocco,Rabat,34.03,-6.84,4.7
Mozambique,Maputo,-25.97,32.59,2.5
Myanmar,Pathein,16.78,94.73,1.8
Namibia,Windhoek,-22.57,17.08,10
Turkey,Yaren,39.55,27.62,5.5
Nepal,Kathmandu,27.72,85.32,23.9
Netherlands,Amsterdam,52.37,4.89,7.4
New Zealand,Wellington,-41.3,174.78,0.6
Nicaragua,Managua,12.15,-86.27,2.2
Niger,Niamey,13.52,2.12,11.4
Nigeria,Abuja,9.18,7.18,4.7
North Korea,Pyongyang,39.02,125.75,17.2
Macedonia,Skopje,42,21.43,15.9
Norway,Oslo,59.92,10.75,0.5
Oman,Muscat,23.61,58.59,39.1
Pakistan,Islamabad,33.7,73.17,113.9
Palau,Adkip,7.36,134.51,1
Bolivia,National,-11.18,-67.08,0.8
Panama,Panama City,8.97,-79.53,1.4
Papua New Guinea,Port Moresby,-9.46,147.19,3.8
Paraguay,Carreria,-21.55,-58.12,10.1
Peru,Lima,-12.05,-77.05,6.9
Philippines,Manila,14.6,120.98,42.6
Poland,Warsaw,52.25,21,36.9
Portugal,Lisbon,38.72,-9.13,9.1
Qatar,Doha,25.29,51.53,60.6
Romania,Bucharest,44.43,26.1,31.4
Russia,Moscow,55.75,37.62,16.2
Rwanda,Kigali,-1.95,30.06,16.7
Saint Kitts and Nevis,Basseterre,17.3,-62.72,3.7
Saint Lucia,Castries,14,-61,3.3
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2
Samoa,Apia,-13.83,-171.73,2.9
San Marino,San Marino,43.93,12.45,17.2
Belgium,'S-Gravenwezel,51.27,4.55,28.6
Saudi Arabia,Riyadh,24.64,46.77,26.4
Senegal,Dakar,14.67,-17.44,0.5
Serbia,Belgrade,44.8,20.47,15.4
Seychelles Islands,Victoria,-4.62,55.45,6.3
Sierra Leone,Freetown,8.49,-13.23,1.8
Singapore,Singapore,1.29,103.86,6
Slovakia,Bratislava,48.15,17.12,24.2
Slovenia,Ljubljana,46.06,14.51,21.4
Solomon Islands,Honiara,-9.43,159.95,3
Somalia,Mogadishu,2.07,45.37,7.4
South Africa,Pretoria,-25.75,28.19,9.8
South Korea,Seoul,37.57,127,47.9
Sudan,Juba,12.15,24.45,2.2
Spain,Madrid,40.4,-3.68,2.9
Sri Lanka,Colombo,6.93,79.85,2.1
Sudan,Khartoum,15.59,32.53,8.5
Suriname,Paramaribo,5.83,-55.17,9.7
Sweden,Stockholm,59.33,18.05,5.5
Switzerland,Bern,46.92,7.47,3.5
Syria,Damascus,33.5,36.3,42
Tajikistan,Dushanbe,38.56,68.77,36.6
Tanzania,Dodoma,-6.18,35.75,2.6
Thailand,Bangkok,13.75,100.52,21.6
Timor-Leste,Dili,-8.56,125.57,4.8
Bulgaria,Lom,43.81,23.24,8.9
Tonga,Nuku`Aloia,-21.13,-175.2,5.3
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2.4
Tunisia,Tunis,36.8,10.18,39
Turkey,Ankara,39.93,32.86,5.9
Turkmenistan,Ashgabat,37.95,58.38,24.1
Tuvalu,Funafuti,-8.52,179.22,1.7
Uganda,Kampala,0.32,32.57,145.5
Ukraine,Kyiv,50.43,30.52,7.7
United Arab Emirates,Abu Dhabi,24.47,54.37,90.5
United Kingdom,London,51.52,-0.11,2
United States of America,Washington Park,46.6,-120.49,1.2
Uruguay,Montevideo,-34.86,-56.17,7.9
Uzbekistan,Tashkent,41.32,69.25,25.1
Vanuatu,Port Vila,-17.73,168.32,4
Venezuela,Caracas,10.5,-66.92,46.1
Vietnam,Hanoi,21.03,105.85,45.2
Yemen,Sanaa,15.35,44.21,29.8
Zambia,Lusaka,-15.42,28.28,20.6
Zimbabwe,Harare,-17.82,31.04,5.8
Afghanistan,Kabul,34.52,69.18,22.8
Albania,Tirana,41.33,19.82,22.3
Algeria,Algiers,36.76,3.05,13.6
Andorra,Andorra La Vella,42.5,1.52,1.6
Angola,Luanda,-8.84,13.23,11
Antigua and Barbuda,Saint John's,17.12,-61.85,1.1
Argentina,Buenos Aires,-34.59,-58.67,3.7
Armenia,Yerevan,40.18,44.51,2.7
Australia,Canberra,-35.28,149.22,5.7
Austria,Vienna,48.2,16.37,2.2
Azerbaijan,Baku,40.4,49.88,10.4
Bahamas,Nassau,25.08,-77.35,3.6
Bahrain,Manama,26.24,50.58,59.8
Bangladesh,Dhaka,23.72,90.41,11.3
Barbados,Bridgetown,13.1,-59.62,0.9
Belarus,Minsk,53.9,27.57,0.5
Belgium,Brussels,50.83,4.33,5.9
Belize,Belmopan,17.25,-88.77,1.9
Benin,Porto-Novo,6.48,2.62,5.1
Bhutan,Thimphu,27.48,89.6,4.6
Bolivia,Sucre,-19.04,-65.26,3.8
Bosnia and Herzegovina,Sarajevo,43.85,18.38,6.2
Botswana,Gaborone,-24.65,25.91,40.6
Brazil,Bras,-2.08,-58.17,4.4
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,4.8
Bulgaria,Sofia,42.68,23.32,13.2
Burkina Faso,Ouagadougou,12.37,-1.52,9.5
Burundi,Bujumbura,-3.38,29.36,3.7
Madagascar,Ivory,-24.37,46.45,1.9
Cape Verde,Praia,14.93,-23.51,9.9
Cambodia,Phnom Penh,11.55,104.92,10.6
Cameroon,Bafoussam,5.47,10.42,1.8
Canada,Ottawa,45.42,-75.7,0.5
Central African Republic,Bangui,4.37,18.58,0.5
Chad,N'djamena,12.11,15.05,3.3
Chile,Santiago,-33.45,-70.67,262.2
China,Beijing,39.93,116.39,223.6
Bulgaria,Bogot,43.32,24.7,11.1
Comoros,Moroni,-11.7,43.24,7
Congo,Brazzaville,-4.26,15.28,3.3
Costa Rica,San Juan,9.97,-84.08,9.3
Croatia,Zagreb,45.8,16,9.7
Cuba,Havana,23.13,-82.36,10.9
Cyprus,Nicosia,35.17,33.37,3.9
Czech Republic,Prague,50.08,14.47,4.9
Democratic Republic of Congo,Kinshasa,-4.3,15.3,3.3
Denmark,Copenhagen,55.67,12.58,2
Djibouti,Djibouti,11.6,43.15,42.1
Dominica,Roseau,15.3,-61.4,0.8
Dominican Republic,Santo Domingo,18.47,-69.9,5.8
Ecuador,Quito,-0.22,-78.5,43
Egypt,Cairo,30.05,31.25,11.7
El Salvador,San Salvador,13.71,-89.2,19.6
Equatorial Guinea,Malabo,3.75,8.78,3.7
Eritrea,Asmara,15.33,38.93,51.3
Estonia,Tallinn,59.43,24.73,0.5
Swaziland,Mbabane,-26.32,31.13,40.3
Ethiopia,Addis Ababa,9.03,38.7,27.3
Fiji Islands,Suva,-18.13,178.42,4.9
Finland,Helsinki,60.18,24.93,0.8
France,Paris,48.87,2.33,23.4
Gabon,Libreville,0.38,9.45,5.5
Gambia,Banjul,13.45,-16.58,15.3
Georgia,Tbilisi,41.73,44.79,2
Germany,Berlin,52.52,13.4,3.1
Ghana,Accra,5.55,-0.22,11.3
Greece,Athens,37.98,23.72,14.5
Grenada,Saint George's,12.05,-61.75,3.3
Guatemala,Guatemala City,14.62,-90.53,96.3
Guinea,Conakry,9.51,-13.71,0.7
Guinea-Bissau,Bissau,11.85,-15.58,0.9
Guyana,Georgetown,6.8,-58.17,5.5
Haiti,Port-Au-Prince,18.54,-72.34,13.8
Vatican City,Vatican City,41.9,12.45,9
Honduras,Tegucigalpa,14.1,-87.22,4.7
Hungary,Budapest,47.5,19.08,11.3
Iceland,Hella,63.83,-20.4,2.2
India,New Delhi,28.6,77.2,99.2
Indonesia,Jakarta,-6.21,106.85,290.6
Iran,Tehran,35.73,51.33,25.6
Iraq,Baghdad,33.34,44.39,14.3
Ireland,Dublin,53.33,-6.25,1.9
Israel,Jerusalem,31.78,35.23,10
Italy,Rome,41.9,12.48,9
Jamaica,Norman Gardens,17.97,-76.75,131.1
Japan,Tokyo,35.69,139.69,28.3
Jordan,Amman,31.95,35.93,11.9
Kazakhstan,Astana,51.18,71.43,5
Kenya,Nairobi,-1.28,36.82,6.1
Kiribati,Tarawa,-0.88,169.53,0.5
Kuwait,Kuwait City,29.37,47.96,48.7
Kyrghyzstan,Bishkek,42.87,74.6,5.1
Indonesia,Laos,-8.18,114.32,26.6
Latvia,Riga,56.95,24.1,0.7
Lebanon,Beirut,33.87,35.51,9
Lesotho,Maseru,-29.32,27.48,41.2
Liberia,Monrovia,6.31,-10.8,1.9
Thailand,Nan,18.78,100.78,14.2
Liechtenstein,Vaduz,47.13,9.52,2.2
Lithuania,Vilnius,54.68,25.32,0.7
Luxembourg,Luxembourg,49.61,6.13,3.8
Madagascar,Antananarivo,-18.92,47.52,4.3
Malawi,Lilongwe,-13.98,33.78,1.2
Malaysia,Kuala Lumpur,3.17,101.7,59.8
Maldives,Farukolhufunadhoo,6.15,73.27,1
Mali,Bamako,12.65,-8,4.8
Malta,Valletta,35.9,14.51,9.1
Marshall Islands,Majuro,7.1,171.38,0.5
Mauritania,Nouakchott,18.09,-15.98,36.4
Mauritius,Port Louis,-20.16,57.5,2.2
Mexico,Mexico City,19.43,-99.13,46
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,7.4
Monaco,Monaco,43.73,7.42,6.6
Mongolia,Ulaanbaatar,47.92,106.92,5
Montenegro,Podgorica,42.44,19.26,19.7
Morocco,Rabat,34.03,-6.84,13.1
Mozambique,Maputo,-25.97,32.59,16.9
Myanmar,Pathein,16.78,94.73,2.6
Namibia,Windhoek,-22.57,17.08,25.5
Turkey,Yaren,39.55,27.62,4.1
Nepal,Kathmandu,27.72,85.32,21.6
Netherlands,Amsterdam,52.37,4.89,3
New Zealand,Wellington,-41.3,174.78,4.1
Nicaragua,Managua,12.15,-86.27,7.9
Niger,Niamey,13.52,2.12,2.9
Nigeria,Abuja,9.18,7.18,3
North Korea,Pyongyang,39.02,125.75,11.3
Macedonia,Skopje,42,21.43,27.8
Norway,Oslo,59.92,10.75,1
Oman,Muscat,23.61,58.59,25.6
Pakistan,Islamabad,33.7,73.17,123
Palau,Adkip,7.36,134.51,0.5
Bolivia,National,-11.18,-67.08,1.2
Panama,Panama City,8.97,-79.53,4.9
Papua New Guinea,Port Moresby,-9.46,147.19,4.5
Paraguay,Carreria,-21.55,-58.12,3
Peru,Lima,-12.05,-77.05,12
Philippines,Manila,14.6,120.98,10.6
Poland,Warsaw,52.25,21,1.4
Portugal,Lisbon,38.72,-9.13,5.3
Qatar,Doha,25.29,51.53,43.3
Romania,Bucharest,44.43,26.1,19.7
Russia,Moscow,55.75,37.62,6.2
Rwanda,Kigali,-1.95,30.06,1.4
Saint Kitts and Nevis,Basseterre,17.3,-62.72,3.7
Saint Lucia,Castries,14,-61,2
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2.1
Samoa,Apia,-13.83,-171.73,4.3
San Marino,San Marino,43.93,12.45,13.4
Belgium,'S-Gravenwezel,51.27,4.55,4.8
Saudi Arabia,Riyadh,24.64,46.77,37
Senegal,Dakar,14.67,-17.44,16.6
Serbia,Belgrade,44.8,20.47,7.5
Seychelles Islands,Victoria,-4.62,55.45,4.1
Sierra Leone,Freetown,8.49,-13.23,2.6
Singapore,Singapore,1.29,103.86,19.3
Slovakia,Bratislava,48.15,17.12,2.3
Slovenia,Ljubljana,46.06,14.51,5.5
Solomon Islands,Honiara,-9.43,159.95,0.5
Somalia,Mogadishu,2.07,45.37,5.6
South Africa,Pretoria,-25.75,28.19,33.5
South Korea,Seoul,37.57,127,6.1
Sudan,Juba,12.15,24.45,0.9
Spain,Madrid,40.4,-3.68,4.6
Sri Lanka,Colombo,6.93,79.85,1.8
Sudan,Khartoum,15.59,32.53,44.5
Suriname,Paramaribo,5.83,-55.17,3.3
Sweden,Stockholm,59.33,18.05,0.5
Switzerland,Bern,46.92,7.47,2.8
Syria,Damascus,33.5,36.3,38
Tajikistan,Dushanbe,38.56,68.77,19.2
Tanzania,Dodoma,-6.18,35.75,0.8
Thailand,Bangkok,13.75,100.52,85.8
Timor-Leste,Dili,-8.56,125.57,4.7
Bulgaria,Lom,43.81,23.24,19.6
Tonga,Nuku`Aloia,-21.13,-175.2,3.8
Trinidad and Tobago,Port Of Spain,10.65,-61.52,3.7
Tunisia,Tunis,36.8,10.18,27.6
Turkey,Ankara,39.93,32.86,20
Turkmenistan,Ashgabat,37.95,58.38,18.6
Tuvalu,Funafuti,-8.52,179.22,0.7
Uganda,Kampala,0.32,32.57,1.2
Ukraine,Kyiv,50.43,30.52,6.1
United Arab Emirates,Abu Dhabi,24.47,54.37,63.9
United Kingdom,London,51.52,-0.11,4.2
United States of America,Washington Park,46.6,-120.49,1.8
Uruguay,Montevideo,-34.86,-56.17,17.6
Uzbekistan,Tashkent,41.32,69.25,6.2
Vanuatu,Port Vila,-17.73,168.32,4
Venezuela,Caracas,10.5,-66.92,13.2
Vietnam,Hanoi,21.03,105.85,25
Yemen,Sanaa,15.35,44.21,15.8
Zambia,Lusaka,-15.42,28.28,9.2
Zimbabwe,Harare,-17.82,31.04,19.9
Afghanistan,Kabul,34.52,69.18,15.3
Albania,Tirana,41.33,19.82,21.2
Algeria,Algiers,36.76,3.05,20.1
Andorra,Andorra La Vella,42.5,1.52,2.8
Angola,Luanda,-8.84,13.23,14.8
Antigua and Barbuda,Saint John's,17.12,-61.85,0.7
Argentina,Buenos Aires,-34.59,-58.67,5.4
Armenia,Yerevan,40.18,44.51,1.8
Australia,Canberra,-35.28,149.22,7.7
Austria,Vienna,48.2,16.37,5.4
